Date,Timestamp UTC ms,Time,Latitude,Longitude,Place,MoveAccuracy
20181023,1540326499565,"Tue Oct 23 16:28:19 EDT 2018",28.05876748213309,-82.41516446009402,"USF Engineering C4 Lab",MOVE_NOMOVE,22
20181023,1540328766904,"Tue Oct 23 17:06:06 EDT 2018",28.0587711,-82.4167011,"",MOVE_WALK,35
20181023,1540328815504,"Tue Oct 23 17:06:55 EDT 2018",28.0591014,-82.4171011,"",MOVE_WALK,36
20181023,1540328848773,"Tue Oct 23 17:07:28 EDT 2018",28.0592992,-82.4176236,"",MOVE_WALK,20
20181023,1540329005369,"Tue Oct 23 17:10:05 EDT 2018",28.0600478,-82.4181517,"",MOVE_WALK,17
20181023,1540329115442,"Tue Oct 23 17:11:55 EDT 2018",28.059932096783523,-82.41788510353864,"",MOVE_WALK,65
20181023,1540329212692,"Tue Oct 23 17:13:32 EDT 2018",28.059479031321025,-82.4164419739651,"",MOVE_WALK,66
20181023,1540329241153,"Tue Oct 23 17:14:01 EDT 2018",28.0588956,-82.4162592,"USF Engineering C4 Lab",MOVE_WALK,36
20181023,1540329400892,"Tue Oct 23 17:16:40 EDT 2018",28.0587945,-82.4152053,"USF Engineering C4 Lab",MOVE_WALK,22
20181023,1540330686001,"Tue Oct 23 17:38:06 EDT 2018",28.0587942,-82.4149114,"",MOVE_WALK,28
20181023,1540330727863,"Tue Oct 23 17:38:47 EDT 2018",28.0586406,-82.4156262,"",MOVE_WALK,28
20181023,1540330788276,"Tue Oct 23 17:39:48 EDT 2018",28.05875,-82.4164797,"",MOVE_WALK,29
20181023,1540330842322,"Tue Oct 23 17:40:42 EDT 2018",28.058193492504493,-82.41671591862725,"",MOVE_WALK,60
20181023,1540330866072,"Tue Oct 23 17:41:06 EDT 2018",28.058487226725685,-82.41719669110594,"",MOVE_WALK,92
20181023,1540330924914,"Tue Oct 23 17:42:04 EDT 2018",28.05894648516067,-82.41753601024098,"",MOVE_VEHICLE,66
20181023,1540330952321,"Tue Oct 23 17:42:32 EDT 2018",28.059007406670947,-82.41794410931432,"",MOVE_VEHICLE,83
20181023,1540331258886,"Tue Oct 23 17:47:38 EDT 2018",28.05461551172969,-82.4278148179762,"",MOVE_WALK,111
20181023,1540331280788,"Tue Oct 23 17:48:00 EDT 2018",28.0544932,-82.4285695,"",MOVE_WALK,34
20181023,1540331565174,"Tue Oct 23 17:52:45 EDT 2018",28.0524946,-82.4329147,"",MOVE_VEHICLE,32
20181023,1540332001343,"Tue Oct 23 18:00:01 EDT 2018",28.0521217,-82.4326297,"",MOVE_WALK,29
20181023,1540336295269,"Tue Oct 23 19:11:35 EDT 2018",28.0524155,-82.4324742,"",MOVE_WALK,27
20181023,1540336323006,"Tue Oct 23 19:12:03 EDT 2018",28.0524669,-82.4327671,"",MOVE_WALK,34
20181023,1540336375006,"Tue Oct 23 19:12:55 EDT 2018",28.0525947,-82.4345152,"",MOVE_WALK,38
20181023,1540336400337,"Tue Oct 23 19:13:20 EDT 2018",28.0523608,-82.4355992,"",MOVE_VEHICLE,18
20181023,1540336492196,"Tue Oct 23 19:14:52 EDT 2018",28.0520322,-82.4344,"",MOVE_VEHICLE,27
20181023,1540336646255,"Tue Oct 23 19:17:26 EDT 2018",28.048359263111248,-82.43530892672372,"",MOVE_VEHICLE,43
20181023,1540336676258,"Tue Oct 23 19:17:56 EDT 2018",28.0469755,-82.4345109,"",MOVE_VEHICLE,32
20181023,1540336901579,"Tue Oct 23 19:21:41 EDT 2018",28.0470419,-82.4426064,"",MOVE_VEHICLE,80
20181023,1540337295407,"Tue Oct 23 19:28:15 EDT 2018",28.0539693,-82.4374888,"",MOVE_WALK,17
20181023,1540338144601,"Tue Oct 23 19:42:24 EDT 2018",28.0522546,-82.4326083,"11310 Pine Ct, Tampa, FL 33612, USA",MOVE_VEHICLE,25
20181023,1540342798000,"Tue Oct 23 20:59:58 EDT 2018",28.0520924,-82.4324315,"",MOVE_WALK,8
20181023,1540342864000,"Tue Oct 23 21:01:04 EDT 2018",28.0531907,-82.4345474,"",MOVE_WALK,22
20181023,1540342888161,"Tue Oct 23 21:01:28 EDT 2018",28.0540647,-82.4341837,"",MOVE_VEHICLE,28
20181023,1540342910184,"Tue Oct 23 21:01:50 EDT 2018",28.0539957,-82.4300925,"",MOVE_VEHICLE,43
20181023,1540342947322,"Tue Oct 23 21:02:27 EDT 2018",28.0543734,-82.4291713,"",MOVE_VEHICLE,17
20181023,1540342982636,"Tue Oct 23 21:03:02 EDT 2018",28.0544824,-82.4283607,"",MOVE_VEHICLE,34
20181023,1540343112059,"Tue Oct 23 21:05:12 EDT 2018",28.0545232,-82.4260427,"",MOVE_VEHICLE,15
