Day,Timestamp UTC ms,Time,Place,Room,Activity,Activity Category,Duration ms,Steps,Move,Device
20181006,1538840244766,"Sat Oct 06 11:37:24 EDT 2018","home","","phone: Smarter Time","Personal Life",31,0,NOMOVE,"Galaxy S7 Edge"
20181006,1538840244797,"Sat Oct 06 11:37:24 EDT 2018","home","","home time","Personal Life",151120,0,NOMOVE,""
20181006,1538840395917,"Sat Oct 06 11:39:55 EDT 2018","home","","phone: Google Play Store","Art & Entertainment",479433,0,NOMOVE,"Galaxy S7 Edge"
20181006,1538840875350,"Sat Oct 06 11:47:55 EDT 2018","home","","home time","Personal Life",270172,0,NOMOVE,""
20181006,1538841145522,"Sat Oct 06 11:52:25 EDT 2018","home","","phone: Snapchat","Social",201256,0,NOMOVE,"Galaxy S7 Edge"
20181006,1538841346778,"Sat Oct 06 11:55:46 EDT 2018","home","","phone: YouTube","Art & Entertainment",269111,0,NOMOVE,"Galaxy S7 Edge"
20181006,1538841615889,"Sat Oct 06 12:00:15 EDT 2018","home","","phone: Hangouts","Social",115349,0,NOMOVE,"Galaxy S7 Edge"
20181006,1538841731238,"Sat Oct 06 12:02:11 EDT 2018","home","","phone: Todoist","Professional Life",107959,0,NOMOVE,"Galaxy S7 Edge"
20181006,1538841839197,"Sat Oct 06 12:03:59 EDT 2018","home","","home time","Personal Life",310683,0,NOMOVE,""
20181006,1538842149880,"Sat Oct 06 12:09:09 EDT 2018","home","","phone: Groupon","Art & Entertainment",113831,0,NOMOVE,"Galaxy S7 Edge"
20181006,1538842263711,"Sat Oct 06 12:11:03 EDT 2018","home","","home time","Personal Life",1504038,0,NOMOVE,""
20181006,1538843767749,"Sat Oct 06 12:36:07 EDT 2018","home","","phone: YouTube","Art & Entertainment",1985800,0,NOMOVE,"Galaxy S7 Edge"
20181006,1538845753549,"Sat Oct 06 13:09:13 EDT 2018","home","","phone: Google Play Music","Art & Entertainment",126357,0,NOMOVE,"Galaxy S7 Edge"
20181006,1538845879906,"Sat Oct 06 13:11:19 EDT 2018","home","","home time","Personal Life",500830,0,NOMOVE,""
20181006,1538846380736,"Sat Oct 06 13:19:40 EDT 2018","home","","phone: Google Play Music","Art & Entertainment",303632,0,NOMOVE,"Galaxy S7 Edge"
20181006,1538846684368,"Sat Oct 06 13:24:44 EDT 2018","home","","home time","Personal Life",344406,0,NOMOVE,""
20181006,1538847028774,"Sat Oct 06 13:30:28 EDT 2018","home","","phone: Forest","Professional Life",388576,0,NOMOVE,"Galaxy S7 Edge"
20181006,1538847417350,"Sat Oct 06 13:36:57 EDT 2018","home","","home time","Personal Life",346648,0,NOMOVE,""
20181006,1538847763998,"Sat Oct 06 13:42:43 EDT 2018","home","","phone: Forest","Professional Life",329616,0,NOMOVE,"Galaxy S7 Edge"
20181006,1538848093614,"Sat Oct 06 13:48:13 EDT 2018","home","","home time","Personal Life",774080,0,NOMOVE,""
20181006,1538848867694,"Sat Oct 06 14:01:07 EDT 2018","home","","phone: Forest","Professional Life",649246,0,NOMOVE,"Galaxy S7 Edge"
20181006,1538849516940,"Sat Oct 06 14:11:56 EDT 2018","home","","home time","Personal Life",302582,0,NOMOVE,""
20181006,1538849819522,"Sat Oct 06 14:16:59 EDT 2018","home","","phone: Forest","Professional Life",477320,0,NOMOVE,"Galaxy S7 Edge"
20181006,1538850296842,"Sat Oct 06 14:24:56 EDT 2018","home","","home time","Personal Life",1830918,0,NOMOVE,""
20181006,1538852127760,"Sat Oct 06 14:55:27 EDT 2018","home","","phone: Forest","Professional Life",300409,0,NOMOVE,"Galaxy S7 Edge"
20181006,1538852428169,"Sat Oct 06 15:00:28 EDT 2018","home","","home time","Personal Life",451269,0,NOMOVE,""
20181006,1538852879438,"Sat Oct 06 15:07:59 EDT 2018","home","","phone: Forest","Professional Life",222356,0,NOMOVE,"Galaxy S7 Edge"
20181006,1538853101794,"Sat Oct 06 15:11:41 EDT 2018","home","","home time","Personal Life",2386434,0,NOMOVE,""
20181006,1538855488228,"Sat Oct 06 15:51:28 EDT 2018","home","","phone: Forest","Professional Life",352053,0,NOMOVE,"Galaxy S7 Edge"
20181006,1538855840281,"Sat Oct 06 15:57:20 EDT 2018","home","","home time","Personal Life",4565225,0,NOMOVE,""
